策略,模擬次數,平均準確率%,準確率標準差,最高準確率%,最低準確率%,平均損益,損益標準差,平均ROI%,平均最大連贏,平均最大連輸,勝率>50%比例
機器學習,10,51.402592194430156,2.125852877035844,54.64601769911505,48.23788546255506,638.5,1922.2006268857576,1.41818715082078,7.8,7.5,70.0
Markov Chain,10,51.13343960122383,2.3946256598699147,55.50660792951542,47.3568281938326,404.5,1975.801672739448,0.8930614139485744,8.0,7.5,50.0
頻率統計,10,50.777225044747084,2.846445786346826,55.50660792951542,45.57522123893805,114.0,2562.9882949401076,0.2484145332184146,7.1,7.9,70.0
貝氏推論,10,50.777225044747084,2.846445786346826,55.50660792951542,45.57522123893805,114.0,2562.9882949401076,0.2484145332184146,7.1,7.9,70.0
反前局,10,50.54707710074661,3.507649694392694,55.53145336225597,44.565217391304344,-83.5,3159.809369249987,-0.16622321233314558,8.6,7.1,60.0
反連勝,10,50.446270172609104,2.9019106109883595,54.18502202643172,44.567627494456765,-592.0,2578.0828148063824,-1.3091603702942227,8.2,7.0,60.0
隨機預測,10,50.252120169270675,1.9784700234656842,53.47826086956522,46.91629955947136,-341.5,1797.7903798830384,-0.7515736333871254,7.6,7.9,40.0
組合投票,10,49.92336998916431,3.238633239140972,54.18502202643172,44.03470715835141,-809.5,2834.7861030419913,-1.7771895275940612,7.3,7.0,60.0
大路模式,10,49.56977182378726,2.62231494623281,54.54545454545454,45.2914798206278,-966.5,2352.51997866118,-2.127187021443946,7.5,7.4,40.0
跟前局,10,49.45292289925339,3.5076496943926916,55.434782608695656,44.46854663774403,-1055.0,3154.056911344499,-2.335196483200816,7.1,8.6,40.0
跟連勝,10,49.23034468034328,2.265689476877909,52.60869565217391,44.61883408071749,-1540.5,1997.527784537677,-3.4077260253608124,7.5,8.1,50.0
移動平均,10,48.77392890994891,2.2439906024592235,52.28758169934641,44.690265486725664,-1758.5,1986.1193946991202,-3.8764205871176336,7.0,7.8,30.0
